window_id,start_ref,start_test,end_test,mmd_stat,gamma,p_cls,perm_mean,perm_std,top_ks,top_psi
0,0,4000,5000,8.890486346824211e-05,0.01770805588669486,0.25742574257425743,-3.668061968430836e-05,0.00020764062855617408,date_of_birth_distinct_emails_4w:0.0420:1.2e-01;proposed_credit_limit:0.0375:2.1e-01;intended_balcon_amount:0.0370:2.2e-01,name_email_similarity:0.0132;date_of_birth_distinct_emails_4w:0.0117;days_since_request:0.0115
1,500,4500,5500,-0.000507827910701808,0.017529947137010102,1.0,-2.5630049615776863e-05,0.00026916817379120953,bank_branch_count_8w:0.0380:2.0e-01;session_length_in_minutes:0.0365:2.3e-01;income:0.0343:3.0e-01,bank_branch_count_8w:0.0156;velocity_6h:0.0155;income:0.0146
2,1000,5000,6000,0.00014009824095806422,0.01789361099856658,0.26732673267326734,9.0866590084282e-07,0.000252080356398498,velocity_6h:0.0418:1.2e-01;keep_alive_session:0.0405:1.4e-01;date_of_birth_distinct_emails_4w:0.0387:1.8e-01,current_address_months_count:0.0234;velocity_6h:0.0191;credit_risk_score:0.0186
3,1500,5500,6500,0.00023345322098089483,0.01728753394742393,0.16831683168316833,9.93324904989601e-06,0.00022602763824083592,velocity_6h:0.0475:5.3e-02;has_other_cards:0.0445:8.3e-02;proposed_credit_limit:0.0423:1.1e-01,velocity_6h:0.0292;name_email_similarity:0.0213;credit_risk_score:0.0197
4,2000,6000,7000,0.00014234388779676976,0.01771457003522462,0.26732673267326734,6.334257443858516e-06,0.0002546959178275003,intended_balcon_amount:0.0457:6.9e-02;velocity_4w:0.0405:1.4e-01;velocity_24h:0.0365:2.3e-01,current_address_months_count:0.0193;intended_balcon_amount:0.0177;date_of_birth_distinct_emails_4w:0.0171
5,2500,6500,7500,8.43616121488644e-05,0.017767170286117767,0.32673267326732675,1.1271561182910616e-05,0.00026749751651019443,zip_count_4w:0.0420:1.2e-01;credit_risk_score:0.0410:1.3e-01;days_since_request:0.0348:2.8e-01,zip_count_4w:0.0167;velocity_6h:0.0148;date_of_birth_distinct_emails_4w:0.0135
6,3000,7000,8000,3.3247012518611285e-06,0.017974415951810013,0.4158415841584158,-9.075395798427977e-06,0.00022935420340775632,intended_balcon_amount:0.0587:7.8e-03;zip_count_4w:0.0437:9.2e-02;velocity_6h:0.0432:9.9e-02,intended_balcon_amount:0.0241;session_length_in_minutes:0.0204;days_since_request:0.0189
7,3500,7500,8500,-0.00010331749512970667,0.018108217194703582,0.6138613861386139,9.721376182549868e-06,0.00026580035484424466,velocity_6h:0.0488:4.4e-02;zip_count_4w:0.0413:1.3e-01;session_length_in_minutes:0.0400:1.5e-01,name_email_similarity:0.0165;session_length_in_minutes:0.0156;income:0.0151
8,4000,8000,9000,-6.814012678302284e-05,0.017777686933029387,0.594059405940594,-1.3762245877191327e-05,0.00024502167515766453,credit_risk_score:0.0460:6.6e-02;velocity_6h:0.0435:9.5e-02;velocity_4w:0.0372:2.1e-01,credit_risk_score:0.0213;income:0.0182;bank_branch_count_8w:0.0151
9,4500,8500,9500,0.00041335672847364613,0.01776861939794782,0.06930693069306931,1.3801192704625542e-05,0.00025797797499606587,days_since_request:0.0488:4.4e-02;velocity_6h:0.0440:8.9e-02;bank_months_count:0.0390:1.7e-01,velocity_6h:0.0235;date_of_birth_distinct_emails_4w:0.0164;intended_balcon_amount:0.0132
10,5000,9000,10000,-2.2379558666685284e-05,0.017846602634560522,0.49504950495049505,2.5785631452530656e-05,0.0002773139092041288,velocity_4w:0.0510:3.1e-02;days_since_request:0.0475:5.3e-02;name_email_similarity:0.0382:1.9e-01,name_email_similarity:0.0197;session_length_in_minutes:0.0190;current_address_months_count:0.0180
11,5500,9500,10500,0.00019179803129065753,0.017558916457616123,0.24752475247524752,3.3361324795353476e-05,0.0002923865101122797,session_length_in_minutes:0.0490:4.2e-02;name_email_similarity:0.0467:5.9e-02;intended_balcon_amount:0.0445:8.3e-02,name_email_similarity:0.0212;velocity_6h:0.0153;velocity_24h:0.0147
12,6000,10000,11000,0.00013635851415316758,0.017658354100058164,0.25742574257425743,6.333793901154295e-06,0.00024178109643947549,device_os_freq:0.0580:9.0e-03;days_since_request:0.0403:1.5e-01;session_length_in_minutes:0.0400:1.5e-01,device_os_freq:0.0172;velocity_24h:0.0159;velocity_4w:0.0158
13,6500,10500,11500,-0.00022280685001208056,0.01747300480767175,0.8217821782178217,1.0331471899021061e-05,0.0002489475210270025,bank_months_count:0.0467:5.9e-02;velocity_4w:0.0452:7.4e-02;days_since_request:0.0328:3.5e-01,velocity_4w:0.0227;credit_risk_score:0.0170;name_email_similarity:0.0122
14,7000,11000,12000,-0.0003068822954315209,0.017762255129085164,0.8613861386138614,-2.9693235757612958e-05,0.0002557744038400501,bank_months_count:0.0385:1.8e-01;name_email_similarity:0.0367:2.3e-01;intended_balcon_amount:0.0293:4.9e-01,credit_risk_score:0.0177;velocity_6h:0.0141;name_email_similarity:0.0125
15,7500,11500,12500,-0.00013463594630991338,0.01813889704288085,0.594059405940594,-4.504730771450971e-05,0.000231162369470855,name_email_similarity:0.0563:1.2e-02;current_address_months_count:0.0512:2.9e-02;credit_risk_score:0.0345:2.9e-01,current_address_months_count:0.0191;name_email_similarity:0.0185;bank_months_count:0.0175
16,8000,12000,13000,7.862426425853108e-05,0.018318626893144056,0.37623762376237624,2.6278406307735925e-05,0.0002590288887895561,device_os_freq:0.0447:8.0e-02;days_since_request:0.0440:8.9e-02;credit_risk_score:0.0425:1.1e-01,current_address_months_count:0.0242;bank_months_count:0.0186;customer_age:0.0156
17,8500,12500,13500,1.2368189229894355e-05,0.017900736050120093,0.4752475247524752,9.079103394638021e-06,0.00027034135045016396,days_since_request:0.0548:1.6e-02;device_os_freq:0.0503:3.4e-02;current_address_months_count:0.0432:9.9e-02,current_address_months_count:0.0231;name_email_similarity:0.0170;zip_count_4w:0.0140
18,9000,13000,14000,-0.0002676328984478893,0.017569263962277447,0.8811881188118812,2.057487840869676e-06,0.00023433205551722284,days_since_request:0.0573:1.0e-02;intended_balcon_amount:0.0465:6.2e-02;credit_risk_score:0.0410:1.3e-01,bank_branch_count_8w:0.0297;session_length_in_minutes:0.0161;credit_risk_score:0.0135
19,9500,13500,14500,0.00022955276559044613,0.017581531202017896,0.2079207920792079,1.9560932764524086e-05,0.0002455422175618195,session_length_in_minutes:0.0395:1.6e-01;payment_type_freq:0.0395:1.6e-01;date_of_birth_distinct_emails_4w:0.0387:1.8e-01,velocity_24h:0.0170;session_length_in_minutes:0.0158;velocity_6h:0.0151
20,10000,14000,15000,-3.797141139294524e-07,0.017774736771676125,0.46534653465346537,3.534503094906105e-05,0.00028977584032675743,session_length_in_minutes:0.0705:6.8e-04;bank_months_count:0.0565:1.2e-02;credit_risk_score:0.0385:1.8e-01,velocity_4w:0.0191;session_length_in_minutes:0.0172;bank_months_count:0.0165
21,10500,14500,15500,4.894752565043348e-06,0.017812948855257343,0.43564356435643564,2.5524552037490266e-05,0.0003157864458354412,name_email_similarity:0.0525:2.4e-02;session_length_in_minutes:0.0423:1.1e-01;zip_count_4w:0.0408:1.4e-01,name_email_similarity:0.0205;velocity_6h:0.0183;session_length_in_minutes:0.0149
22,11000,15000,16000,-7.435037886160956e-05,0.017672568099398288,0.5643564356435643,-9.314068623622607e-06,0.00024132426818253305,name_email_similarity:0.0362:2.4e-01;velocity_24h:0.0355:2.6e-01;zip_count_4w:0.0335:3.3e-01,current_address_months_count:0.0168;days_since_request:0.0151;velocity_6h:0.0148
23,11500,15500,16500,7.380978358595414e-05,0.01754203857730205,0.33663366336633666,-1.995287464884754e-05,0.00022138372883063055,intended_balcon_amount:0.0455:7.2e-02;bank_branch_count_8w:0.0395:1.6e-01;payment_type_freq:0.0385:1.8e-01,velocity_24h:0.0201;intended_balcon_amount:0.0158;date_of_birth_distinct_emails_4w:0.0158
24,12000,16000,17000,-3.2955024250602705e-05,0.01767701300887787,0.5247524752475248,3.121879132816918e-06,0.000238499151081251,velocity_24h:0.0395:1.6e-01;credit_risk_score:0.0385:1.8e-01;days_since_request:0.0350:2.8e-01,days_since_request:0.0203;session_length_in_minutes:0.0171;current_address_months_count:0.0153
25,12500,16500,17500,0.0003082401027123538,0.017992944942505334,0.13861386138613863,2.040260488201495e-05,0.0002771499035565577,current_address_months_count:0.0483:4.7e-02;velocity_24h:0.0350:2.8e-01;bank_months_count:0.0345:2.9e-01,velocity_6h:0.0137;bank_branch_count_8w:0.0134;velocity_24h:0.0126
26,13000,17000,18000,0.00013433628725900704,0.018319324300273523,0.25742574257425743,-2.2749981642540273e-05,0.0002399315342183903,current_address_months_count:0.0490:4.2e-02;name_email_similarity:0.0410:1.3e-01;days_since_request:0.0398:1.6e-01,date_of_birth_distinct_emails_4w:0.0177;days_since_request:0.0158;name_email_similarity:0.0130
27,13500,17500,18500,-0.00020840187510473562,0.018285582718992693,0.7623762376237624,6.488895647744908e-06,0.0002833584453596599,payment_type_freq:0.0393:1.7e-01;name_email_similarity:0.0365:2.3e-01;velocity_4w:0.0340:3.1e-01,income:0.0109;current_address_months_count:0.0107;intended_balcon_amount:0.0094
28,14000,18000,19000,0.00011627537653091657,0.017739751919613744,0.19801980198019803,-2.97821239112972e-05,0.00022297556461659725,name_email_similarity:0.0483:4.7e-02;current_address_months_count:0.0408:1.4e-01;customer_age:0.0333:3.3e-01,current_address_months_count:0.0194;bank_months_count:0.0181;name_email_similarity:0.0179
29,14500,18500,19500,-0.0003714802523646643,0.017651142072236597,0.9405940594059405,-1.8413457827011204e-05,0.00023542142542078804,zip_count_4w:0.0403:1.5e-01;current_address_months_count:0.0380:2.0e-01;name_email_similarity:0.0370:2.2e-01,current_address_months_count:0.0257;velocity_6h:0.0207;name_email_similarity:0.0162
30,15000,19000,20000,0.00015164451583737915,0.017931758322791418,0.27722772277227725,-9.983925515297809e-06,0.00026958137091073335,session_length_in_minutes:0.0348:2.8e-01;current_address_months_count:0.0338:3.2e-01;email_is_free:0.0335:3.3e-01,session_length_in_minutes:0.0175;velocity_4w:0.0134;current_address_months_count:0.0110
31,15500,19500,20500,0.00019688256543459737,0.018025469172822325,0.25742574257425743,5.8798989623660703e-05,0.0003246340426743315,session_length_in_minutes:0.0457:6.9e-02;velocity_4w:0.0382:1.9e-01;has_other_cards:0.0307:4.3e-01,velocity_4w:0.0224;session_length_in_minutes:0.0217;date_of_birth_distinct_emails_4w:0.0149
32,16000,20000,21000,0.000223502187898017,0.017859574995395665,0.19801980198019803,2.3288541839310285e-05,0.00022757180371256908,email_is_free:0.0467:5.9e-02;credit_risk_score:0.0382:1.9e-01;has_other_cards:0.0348:2.8e-01,credit_risk_score:0.0209;velocity_6h:0.0209;date_of_birth_distinct_emails_4w:0.0198
33,16500,20500,21500,0.00025122252482745466,0.017923214219483796,0.21782178217821782,4.1446180209048224e-06,0.00028228616771013704,credit_risk_score:0.0522:2.5e-02;bank_months_count:0.0352:2.7e-01;name_email_similarity:0.0338:3.2e-01,credit_risk_score:0.0264;session_length_in_minutes:0.0232;date_of_birth_distinct_emails_4w:0.0221
34,17000,21000,22000,-0.0001720072818049978,0.017956851344929445,0.7524752475247525,2.163196725168737e-05,0.00026842218379970293,bank_months_count:0.0380:2.0e-01;bank_branch_count_8w:0.0300:4.6e-01;name_email_similarity:0.0295:4.8e-01,velocity_24h:0.0162;days_since_request:0.0151;session_length_in_minutes:0.0131
35,17500,21500,22500,0.00041280737554316715,0.017579495601591152,0.10891089108910891,1.820562893349642e-05,0.00025858652176107287,intended_balcon_amount:0.0495:3.9e-02;name_email_similarity:0.0447:8.0e-02;velocity_4w:0.0395:1.6e-01,intended_balcon_amount:0.0204;days_since_request:0.0199;credit_risk_score:0.0194
36,18000,22000,23000,-0.00013792138209933746,0.018132325646472155,0.7128712871287128,6.445939483217255e-06,0.00020526866444936777,intended_balcon_amount:0.0615:4.6e-03;zip_count_4w:0.0362:2.4e-01;velocity_24h:0.0362:2.4e-01,intended_balcon_amount:0.0193;zip_count_4w:0.0145;velocity_24h:0.0140
37,18500,22500,23500,7.941783598219843e-05,0.017699239161804433,0.26732673267326734,-2.4217560104933254e-05,0.00023534681346952424,name_email_similarity:0.0375:2.1e-01;intended_balcon_amount:0.0372:2.1e-01;credit_risk_score:0.0370:2.2e-01,velocity_24h:0.0225;bank_branch_count_8w:0.0169;name_email_similarity:0.0127
38,19000,23000,24000,2.3679459440373307e-05,0.017737765807728605,0.45544554455445546,-9.963677100977008e-06,0.0002707327577196503,velocity_4w:0.0410:1.3e-01;velocity_6h:0.0387:1.8e-01;intended_balcon_amount:0.0348:2.8e-01,velocity_6h:0.0319;name_email_similarity:0.0201;velocity_4w:0.0169
39,19500,23500,24500,0.00012175729884522646,0.017314332224091355,0.2871287128712871,-1.4835601691269851e-05,0.00022252302597236767,velocity_24h:0.0425:1.1e-01;velocity_4w:0.0413:1.3e-01;bank_months_count:0.0360:2.5e-01,bank_branch_count_8w:0.0208;date_of_birth_distinct_emails_4w:0.0162;session_length_in_minutes:0.0134
40,20000,24000,25000,-5.796673090641136e-06,0.017675269016279718,0.43564356435643564,-1.5024288136795682e-05,0.00024593765591075247,current_address_months_count:0.0475:5.3e-02;date_of_birth_distinct_emails_4w:0.0445:8.3e-02;housing_status_freq:0.0425:1.1e-01,velocity_24h:0.0230;date_of_birth_distinct_emails_4w:0.0227;name_email_similarity:0.0191
41,20500,24500,25500,-1.1576763559784098e-05,0.017633587391881728,0.5445544554455446,4.072997601663131e-05,0.00026898830665129334,name_email_similarity:0.0483:4.7e-02;customer_age:0.0437:9.2e-02;days_since_request:0.0398:1.6e-01,name_email_similarity:0.0277;velocity_6h:0.0147;current_address_months_count:0.0130
42,21000,25000,26000,0.00012633315815113733,0.01749420669977262,0.297029702970297,-3.2714174594428157e-06,0.0002470143970711236,zip_count_4w:0.0520:2.6e-02;bank_branch_count_8w:0.0488:4.4e-02;intended_balcon_amount:0.0385:1.8e-01,zip_count_4w:0.0225;bank_branch_count_8w:0.0177;date_of_birth_distinct_emails_4w:0.0134
43,21500,25500,26500,0.0002452766121472383,0.01789438555794916,0.22772277227722773,1.8157847582218612e-05,0.0002951680770594422,intended_balcon_amount:0.0430:1.0e-01;bank_months_count:0.0385:1.8e-01;current_address_months_count:0.0350:2.8e-01,name_email_similarity:0.0131;velocity_24h:0.0123;current_address_months_count:0.0115
44,22000,26000,27000,-0.0001349521722437963,0.017602319159758982,0.7029702970297029,1.998136075807677e-05,0.00027714103907901564,name_email_similarity:0.0442:8.6e-02;velocity_6h:0.0400:1.5e-01;current_address_months_count:0.0372:2.1e-01,name_email_similarity:0.0159;bank_branch_count_8w:0.0137;current_address_months_count:0.0133
45,22500,26500,27500,-0.00016749970383722612,0.017785858822368196,0.7326732673267327,-1.2704524248876582e-05,0.00021743013630371477,velocity_6h:0.0403:1.5e-01;days_since_request:0.0398:1.6e-01;credit_risk_score:0.0352:2.7e-01,credit_risk_score:0.0216;session_length_in_minutes:0.0185;velocity_6h:0.0181
