window_id,start_ref,start_test,end_test,mmd_stat_q,p_q,kernel_var,n_sub_total,n_sub_X,n_sub_Y,perm_time_s,total_time_s,error
0,0,4000,5000,-0.013906701569426139,1.0,0.012886821774346998,200,160,40,0.007159709930419922,0.4436068534851074,
13,6500,10500,11500,0.007424419387453696,0.09803921568627451,0.011757397663126673,200,160,40,0.007760524749755859,0.39072680473327637,
26,13000,17000,18000,-0.005432673662673165,0.8823529411764706,0.011597273678379918,200,160,40,0.007760047912597656,0.39139652252197266,
40,20000,24000,25000,0.010537516502048955,0.058823529411764705,0.012714448385728779,200,160,40,0.0065724849700927734,0.39074015617370605,
53,26500,30500,31500,0.005958237176358239,0.11764705882352941,0.011583419625816107,200,160,40,0.0070073604583740234,0.39596056938171387,
66,33000,37000,38000,0.0011778766246879069,0.2549019607843137,0.01214935606855915,200,160,40,0.007456541061401367,0.39409708976745605,
80,40000,44000,45000,-0.0038819289584275385,0.8235294117647058,0.012855683128824028,200,160,40,0.0070073604583740234,0.3836824893951416,
93,46500,50500,51500,0.002498037175213158,0.29411764705882354,0.012557021035508216,200,160,40,0.008039236068725586,0.38422632217407227,
106,53000,57000,58000,0.00031569536659753483,0.5294117647058824,0.011145854968428997,200,160,40,0.005751132965087891,0.3989071846008301,
120,60000,64000,65000,0.0005980584092599717,0.5882352941176471,0.013284096374262018,200,160,40,0.006613969802856445,0.39929699897766113,
133,66500,70500,71500,-0.0005955331275831199,0.5490196078431373,0.012764546882499,200,160,40,0.007195472717285156,0.40601372718811035,
146,73000,77000,78000,-0.006820316176906399,0.9803921568627451,0.012988133836703839,200,160,40,0.0063478946685791016,0.3880138397216797,
160,80000,84000,85000,-0.00473037291235473,0.8235294117647058,0.013028027179960797,200,160,40,0.008008241653442383,0.39101314544677734,
173,86500,90500,91500,-0.0022967500346941228,0.7450980392156863,0.011461974176893971,200,160,40,0.006502866744995117,0.38211774826049805,
186,93000,97000,98000,0.006864439065975253,0.0784313725490196,0.0123658673363777,200,160,40,0.006177663803100586,0.4096567630767822,
200,100000,104000,105000,0.002151829763712476,0.43137254901960786,0.012683932281287193,200,160,40,0.007976531982421875,0.3915834426879883,
213,106500,110500,111500,0.011457103556369419,0.0392156862745098,0.012388513528611995,200,160,40,0.0060882568359375,0.4009535312652588,
227,113500,117500,118500,-0.0009263155530014888,0.47058823529411764,0.012265702086594676,200,160,40,0.006161212921142578,0.3900120258331299,
240,120000,124000,125000,0.0051997774711444456,0.13725490196078433,0.011123448012607881,200,160,40,0.00757598876953125,0.3945276737213135,
253,126500,130500,131500,-0.0008474089517661876,0.6470588235294118,0.012798237085931403,200,160,40,0.00783395767211914,0.3900489807128906,
267,133500,137500,138500,-0.007360908799324495,0.9019607843137255,0.013628632867709314,200,160,40,0.0062563419342041016,0.3957393169403076,
280,140000,144000,145000,0.0014255253840205762,0.29411764705882354,0.013337007920697298,200,160,40,0.006014585494995117,0.3949429988861084,
293,146500,150500,151500,0.0030675321211184603,0.3137254901960784,0.012268415513111957,200,160,40,0.006615877151489258,0.4091811180114746,
307,153500,157500,158500,0.0005092686060819696,0.45098039215686275,0.012975910188480388,200,160,40,0.007007598876953125,0.39205241203308105,
320,160000,164000,165000,-0.000508978220322448,0.5686274509803921,0.011526225432013086,200,160,40,0.006998538970947266,0.3988966941833496,
333,166500,170500,171500,-0.007183066852892744,0.9215686274509803,0.01265431354975009,200,160,40,0.007509946823120117,0.3901662826538086,
347,173500,177500,178500,-0.005560826411350722,0.8823529411764706,0.013413982335847192,200,160,40,0.0070073604583740234,0.39464426040649414,
360,180000,184000,185000,0.002581480434090816,0.23529411764705882,0.011217296103353753,200,160,40,0.0070400238037109375,0.3919026851654053,
373,186500,190500,191500,0.001212809446299451,0.47058823529411764,0.010864572663026565,200,160,40,0.0064203739166259766,0.38478612899780273,
387,193500,197500,198500,-0.004193365146260314,0.8235294117647058,0.011921311848705693,200,160,40,0.00736236572265625,0.39610743522644043,
400,200000,204000,205000,0.0017805620098774455,0.23529411764705882,0.011820166494010879,200,160,40,0.007758617401123047,0.3956477642059326,
414,207000,211000,212000,-0.0037553772351064663,0.6862745098039216,0.012401220130214932,200,160,40,0.0070073604583740234,0.3977937698364258,
427,213500,217500,218500,-0.0005733898090839185,0.5294117647058824,0.01218134695341846,200,160,40,0.007676601409912109,0.39193034172058105,
440,220000,224000,225000,0.0034883811858796576,0.27450980392156865,0.013010308540509309,200,160,40,0.0077495574951171875,0.3918642997741699,
454,227000,231000,232000,0.0019657211747016456,0.3333333333333333,0.013570732469126228,200,160,40,0.007759571075439453,0.39301323890686035,
467,233500,237500,238500,-0.005565652520975933,0.9607843137254902,0.012157837678779822,200,160,40,0.006922006607055664,0.3901710510253906,
480,240000,244000,245000,-0.0010711086104796541,0.47058823529411764,0.011868075256993217,200,160,40,0.005965709686279297,0.4031517505645752,
494,247000,251000,252000,-0.003905500856814098,0.7843137254901961,0.012084832419122574,200,160,40,0.0076143741607666016,0.38544797897338867,
507,253500,257500,258500,-0.00393513891758368,0.8235294117647058,0.011808660880683542,200,160,40,0.006295442581176758,0.39066195487976074,
520,260000,264000,265000,0.006224759812226949,0.19607843137254902,0.012274491275997937,200,160,40,0.007403850555419922,0.4295785427093506,
534,267000,271000,272000,0.008567126019602966,0.0392156862745098,0.011553309973736794,200,160,40,0.009867668151855469,0.4453301429748535,
547,273500,277500,278500,-0.005326964011323876,0.7843137254901961,0.010962867386616533,200,160,40,0.007007598876953125,0.40601301193237305,
560,280000,284000,285000,0.0013744922513456714,0.2549019607843137,0.011638783212244128,200,160,40,0.007925748825073242,0.3853487968444824,
574,287000,291000,292000,0.011127060068747696,0.058823529411764705,0.012254135816233793,200,160,40,0.006880283355712891,0.38743114471435547,
587,293500,297500,298500,-0.00677786818554571,0.9803921568627451,0.011671822768132953,200,160,40,0.007759809494018555,0.4052722454071045,
601,300500,304500,305500,0.006015513938701256,0.13725490196078433,0.011150004451456393,200,160,40,0.006314277648925781,0.39409971237182617,
614,307000,311000,312000,-0.007044569726899763,0.9411764705882353,0.012945585991474662,200,160,40,0.0,0.3735368251800537,
627,313500,317500,318500,0.011014863389840174,0.0196078431372549,0.011635230619919106,200,160,40,0.0157930850982666,0.4082906246185303,
641,320500,324500,325500,-0.0039090509279943175,0.7843137254901961,0.014242946092555948,200,160,40,0.015827655792236328,0.3892853260040283,
654,327000,331000,332000,0.0018810111904551952,0.2549019607843137,0.011671206706837993,200,160,40,0.01940631866455078,0.3957555294036865,
667,333500,337500,338500,0.0028854697979669164,0.2549019607843137,0.012458677387919006,200,160,40,0.015834808349609375,0.38265061378479004,
681,340500,344500,345500,-0.005795773151738293,0.8823529411764706,0.013395321124955624,200,160,40,0.0060083866119384766,0.3867826461791992,
694,347000,351000,352000,0.01039530530042393,0.0196078431372549,0.011499428271190439,200,160,40,0.00788569450378418,0.39743614196777344,
707,353500,357500,358500,-0.0002743649089515243,0.49019607843137253,0.012182516688438526,200,160,40,0.004998922348022461,0.38602519035339355,
721,360500,364500,365500,-0.00616658748389079,0.8823529411764706,0.011576847390870525,200,160,40,0.008072853088378906,0.39127182960510254,
734,367000,371000,372000,-0.0008143072461235523,0.5098039215686274,0.01245011186779475,200,160,40,0.0075359344482421875,0.3915674686431885,
747,373500,377500,378500,-0.002448960537272976,0.6274509803921569,0.01223774558080208,200,160,40,0.006875038146972656,0.4098334312438965,
761,380500,384500,385500,-0.00408474178044152,0.9019607843137255,0.012471664679766698,200,160,40,0.007492542266845703,0.39030933380126953,
774,387000,391000,392000,0.001217921875345973,0.3137254901960784,0.011550231826833261,200,160,40,0.006500720977783203,0.38721132278442383,
787,393500,397500,398500,-0.0028068103738991823,0.7254901960784313,0.012816155820435667,200,160,40,0.008688926696777344,0.38735294342041016,
801,400500,404500,405500,-0.002745776687394702,0.6470588235294118,0.013278435870078464,200,160,40,0.006173610687255859,0.3971850872039795,
814,407000,411000,412000,0.00040373948010752336,0.5098039215686274,0.011499426985631993,200,160,40,0.007293224334716797,0.3825712203979492,
828,414000,418000,419000,-0.0034683721611856178,0.6862745098039216,0.012344199696845774,200,160,40,0.006433963775634766,0.39646220207214355,
841,420500,424500,425500,0.00468598154078359,0.17647058823529413,0.011874796029786023,200,160,40,0.007339000701904297,0.3919076919555664,
854,427000,431000,432000,-0.004331814476776108,0.8235294117647058,0.014076615122285124,200,160,40,0.006476640701293945,0.3830711841583252,
868,434000,438000,439000,0.0032727977974862377,0.2549019607843137,0.010557674323784693,200,160,40,0.007372379302978516,0.42497897148132324,
