window_id,start_ref,start_test,end_test,mmd_stat,gamma,p_cls,perm_mean,perm_std,top_ks,top_psi
0,0,4000,5000,0.058743136079689284,0.015816481639930612,0.009900990099009901,-6.170795352478109e-07,0.0002798999094768835,Time:0.9900:0.0e+00;V12:0.9475:0.0e+00;V14:0.8565:4.7e-322,Time:16.5786;V12:15.3438;V14:4.3728
1,500,4500,5500,0.13893031133039901,0.014132328945253294,0.009900990099009901,2.1629784155918762e-05,0.0002775758613710547,Time:0.9898:0.0e+00;V12:0.8157:7.2e-322;V14:0.6770:2.1e-321,Time:16.5573;V12:11.8095;V13:3.2607
2,1000,5000,6000,0.15703873607554142,0.013088634797058143,0.009900990099009901,-2.572449343107852e-05,0.00025721540983972686,Time:0.9900:0.0e+00;V12:0.7057:1.6e-321;V14:0.5587:3.2e-232,Time:16.5716;V12:7.3823;V14:1.7521
3,1500,5500,6500,0.12311684028212522,0.01385799928365234,0.009900990099009901,1.2400170799127252e-05,0.0002971412698041736,Time:0.9900:0.0e+00;V12:0.5870:2.7e-258;V14:0.4405:1.2e-140,Time:16.5715;V12:6.4343;V14:1.0996
4,2000,6000,7000,0.105035546096645,0.014381082600135393,0.009900990099009901,-8.432311818526994e-06,0.0002898236642768796,Time:0.9900:0.0e+00;V12:0.4723:1.3e-162;V9:0.3508:5.0e-88,Time:16.5646;V12:5.6992;V14:0.6539
5,2500,6500,7500,0.08377876241032967,0.01390099136343668,0.009900990099009901,-1.1902663344152132e-05,0.00026063517524027265,Time:0.9900:0.0e+00;V12:0.3460:1.3e-85;V9:0.3160:3.3e-71,Time:16.5715;V12:3.8813;V9:0.5291
6,3000,7000,8000,0.07980330329557228,0.01628286464239462,0.009900990099009901,8.259541241903978e-06,0.0002518720552178103,Time:0.9900:0.0e+00;V26:0.3645:3.2e-95;V9:0.3137:3.5e-70,Time:16.5787;V12:1.0843;V26:0.7617
7,3500,7500,8500,0.09251948774452923,0.020838103085477382,0.009900990099009901,-1.158326677263677e-05,0.0002759816855729413,Time:0.9900:0.0e+00;V26:0.5158:9.0e-196;V27:0.3407:5.5e-83,Time:16.5786;V26:1.4556;Amount:0.6191
8,4000,8000,9000,0.06947346770782836,0.01792822536132065,0.009900990099009901,3.094463774252043e-05,0.00028831655046432977,Time:0.9895:0.0e+00;V26:0.4390:1.2e-139;V27:0.2507:1.1e-44,Time:16.5788;V26:1.0004;V27:0.4024
9,4500,8500,9500,0.015166264152741249,0.017882753216450165,0.009900990099009901,2.4390322328657897e-05,0.00026264254378954675,Time:0.9900:0.0e+00;V26:0.1258:1.8e-11;V15:0.0867:1.1e-05,Time:16.5715;V26:0.0691;V15:0.0669
10,5000,9000,10000,0.019263652897709704,0.018309800224899763,0.009900990099009901,-2.5326644355987415e-05,0.0002757497896856281,Time:0.9900:0.0e+00;V8:0.1650:1.8e-19;V15:0.1568:1.3e-17,Time:16.5786;V27:0.2320;V10:0.1508
11,5500,9500,10500,0.012684338045827692,0.017765198346725082,0.009900990099009901,5.563139278419449e-07,0.0003187281546156532,Time:0.9900:0.0e+00;V8:0.1895:1.4e-25;V6:0.1573:1.0e-17,Time:16.5786;V27:0.2014;V21:0.1778
12,6000,10000,11000,0.008126883563189358,0.01654204887601726,0.009900990099009901,-9.953352553786487e-06,0.0002711256938222839,Time:0.9900:0.0e+00;V26:0.2915:1.8e-60;V27:0.1872:5.6e-25,Time:16.5786;V26:0.6038;V27:0.2994
13,6500,10500,11500,0.02990213817962517,0.017416688584080086,0.009900990099009901,4.446635046124969e-05,0.000329120317284089,Time:0.9900:0.0e+00;V26:0.3772:3.7e-102;V10:0.2442:2.2e-42,Time:16.5786;V26:0.9459;V10:0.5082
14,7000,11000,12000,0.09286759597098837,0.016914887119071183,0.009900990099009901,2.6843431040914913e-05,0.00033546759800045866,Time:0.9898:0.0e+00;V26:0.4560:3.7e-151;V4:0.3065:6.2e-67,Time:16.5786;V26:1.1692;Amount:0.7771
15,7500,11500,12500,0.06060605944088904,0.016220557449343437,0.009900990099009901,-9.530101833929993e-06,0.00025278335711594047,Time:0.9885:0.0e+00;V26:0.3302:7.2e-78;V4:0.2442:2.2e-42,Time:16.5786;V26:0.7181;Amount:0.4776
16,8000,12000,13000,0.043240457851727365,0.01612759132002319,0.009900990099009901,-3.336722299792427e-05,0.0002555447463341533,Time:0.9900:0.0e+00;V26:0.2180:8.9e-34;V10:0.2028:3.1e-29,Time:16.5573;V26:0.4410;V9:0.2909
17,8500,12500,13500,0.02475682382246802,0.017157984130254142,0.009900990099009901,1.996470357902069e-05,0.0002969156000770344,Time:0.9898:0.0e+00;V26:0.1328:9.9e-13;Amount:0.1022:1.0e-07,Time:16.5786;V26:0.1402;Amount:0.0956
18,9000,13000,14000,0.013972629169549888,0.017798450876613484,0.009900990099009901,2.6073696760733344e-05,0.0002556876402423772,Time:0.9900:0.0e+00;V21:0.1785:1.0e-22;V22:0.1570:1.2e-17,Time:16.5786;Amount:0.2783;V26:0.1856
19,9500,13500,14500,0.022884930867086206,0.0185449967960158,0.009900990099009901,-1.4008065443249507e-05,0.00025484566707692697,Time:0.9900:0.0e+00;V14:0.3073:2.9e-67;V12:0.2923:8.6e-61,Time:16.5715;Amount:0.6249;V9:0.5365
20,10000,14000,15000,0.03420514935222485,0.02063967381970064,0.009900990099009901,2.0960593601415668e-05,0.00024344788465549848,Time:0.9900:0.0e+00;V12:0.7610:1.0e-321;V14:0.7010:1.7e-321,Time:16.5786;V12:2.6406;V14:2.5211
21,10500,14500,15500,0.27010197679744286,0.016392221759474884,0.009900990099009901,-7.128784682992606e-06,0.00032935036552122175,Time:0.9900:0.0e+00;V12:0.8345:6.1e-322;V14:0.7565:1.1e-321,Time:16.5715;V12:8.4056;V13:5.0964
22,11000,15000,16000,0.19500508274662254,0.0163459919343263,0.009900990099009901,3.281648689178684e-05,0.0002990769749190255,Time:0.9900:0.0e+00;V12:0.7143:1.5e-321;V14:0.6418:4.6e-314,Time:16.5786;V12:8.2049;V13:4.3875
23,11500,15500,16500,0.1342800533080728,0.018021281164471735,0.009900990099009901,1.6363160229484475e-05,0.0003155491486472695,Time:0.9900:0.0e+00;V12:0.6080:7.7e-279;V14:0.5285:3.5e-206,Time:16.5715;V12:6.2339;V13:2.7497
24,12000,16000,17000,0.10388859795021843,0.019588592617399522,0.009900990099009901,-1.1389352695334588e-06,0.0002834556586587288,Time:0.9895:0.0e+00;V12:0.4983:5.3e-182;V14:0.4258:4.6e-131,Time:16.5786;V13:2.4360;V12:1.9548
