window_id,start_ref,start_test,end_test,mmd_stat,gamma,p_cls,perm_mean,perm_std,top_ks,top_psi
0,0,4000,5000,0.02542416745782261,0.004412814287179159,0.009900990099009901,-1.358534092641861e-05,0.000435705256577618,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V25:0.2082:7.8e-31,TransactionDT:16.5786;TransactionID:16.5786;D9:0.8111
1,500,4500,5500,0.01819238546863544,0.005175924503659392,0.009900990099009901,-6.127269835437988e-05,0.00036510021365039115,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V25:0.1855:1.6e-24,TransactionID:16.5786;TransactionDT:16.5786;V67:0.1824
2,1000,5000,6000,0.013599427847960088,0.0044154197645180455,0.009900990099009901,-3.5592798935841774e-05,0.00035039609717974586,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V25:0.1370:1.6e-13,TransactionDT:16.5786;TransactionID:16.5786;D15:0.0890
3,1500,5500,6500,0.004090281030466825,0.004134718215537556,0.009900990099009901,7.01877732307099e-05,0.00048305485524288694,TransactionID:0.9900:0.0e+00;TransactionDT:0.9898:0.0e+00;D9:0.1098:7.9e-09,TransactionID:16.5786;TransactionDT:16.5786;D9:0.0833
4,2000,6000,7000,0.0018633932759586358,0.0028516553704275405,0.009900990099009901,-4.2783515399484884e-05,0.00033541737045828164,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V66:0.0798:7.3e-05,TransactionID:16.5786;TransactionDT:16.5786;D9:0.0575
5,2500,6500,7500,0.0014237964882475307,0.0034951523049324964,0.009900990099009901,-3.049444231310705e-05,0.00035034430789722415,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;card5:0.0620:4.2e-03,TransactionID:16.5786;TransactionDT:16.5786;card2:0.0371
6,3000,7000,8000,0.0005624490748492583,0.003333534595909561,0.04950495049504951,-3.192994307671393e-05,0.000351514026763076,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;card5:0.0630:3.4e-03,TransactionID:16.5786;TransactionDT:16.5786;D9:0.7490
7,3500,7500,8500,0.0006377315079104662,0.003218959043249232,0.07920792079207921,5.081913597271725e-05,0.00035444350411438735,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V160:0.0740:3.0e-04,TransactionID:16.5786;TransactionDT:16.5786;D9:0.7490
8,4000,8000,9000,0.00026553334503343073,0.0033195863882250496,0.24752475247524752,4.386153064341647e-05,0.0003954480310108605,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;TransactionAmt:0.0660:1.8e-03,TransactionID:16.5786;TransactionDT:16.5786;D9:0.0371
9,4500,8500,9500,0.0003638154959926254,0.003505254833056465,0.1782178217821782,1.8531113454474113e-05,0.0003863975610507458,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;TransactionAmt:0.0767:1.6e-04,TransactionID:16.5786;TransactionDT:16.5786;TransactionAmt:0.0284
10,5000,9000,10000,0.004278473795152893,0.002640018934990077,0.009900990099009901,5.256651198355389e-06,0.00037107420608751103,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D15:0.1075:1.7e-08,TransactionID:16.5786;TransactionDT:16.5786;D9:0.0925
11,5500,9500,10500,0.005435776713018647,0.003509920796550307,0.009900990099009901,8.58164426579422e-05,0.0004536010920749604,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V67:0.1185:3.2e-10,TransactionID:16.5786;TransactionDT:16.5786;C10:0.0502
12,6000,10000,11000,0.0010010813874106184,0.004042930095990479,0.0297029702970297,2.2345191642472173e-05,0.0004006335039081418,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V160:0.0990:2.9e-07,TransactionID:16.5786;TransactionDT:16.5786;D9:0.8567
13,6500,10500,11500,0.000977618333946717,0.0028875744666929212,0.039603960396039604,8.454220389592093e-05,0.00041282290826937976,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V159:0.1040:5.7e-08,TransactionID:16.5786;TransactionDT:16.5786;D9:0.8069
14,7000,11000,12000,0.00048387894635903983,0.004592800906255416,0.06930693069306931,-2.861551343327884e-05,0.00037421205911425035,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1020:1.1e-07,TransactionID:16.5786;TransactionDT:16.5786;D9:0.8111
15,7500,11500,12500,0.0012592608936969896,0.004026972175604847,0.009900990099009901,-9.098838753338612e-06,0.00034154991704809595,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V159:0.0887:6.4e-06,TransactionID:16.5786;TransactionDT:16.5786;M4_freq:0.0275
16,8000,12000,13000,0.0022422819689738027,0.004137354579766905,0.009900990099009901,-1.10900233935185e-05,0.0004103857359070694,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;M5_freq:0.1340:5.8e-13,TransactionID:16.5786;TransactionDT:16.5786;D9:0.0890
17,8500,12500,13500,0.0057560403941312455,0.0035616230862092696,0.009900990099009901,8.033975587249387e-06,0.00040679299580360576,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;M5_freq:0.1700:1.2e-20,TransactionID:16.5786;TransactionDT:16.5786;M5_freq:0.1424
18,9000,13000,14000,0.00218118347561691,0.003514933390553832,0.009900990099009901,-4.548936422006822e-05,0.0003234105794950272,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;M4_freq:0.1175:4.6e-10,TransactionID:16.5786;TransactionDT:16.5715;V165:0.0831
19,9500,13500,14500,0.0033510983495894653,0.003725878421786242,0.009900990099009901,2.49938321264076e-05,0.00034894007419025377,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;P_emaildomain_freq:0.1565:1.5e-17,TransactionID:16.5786;TransactionDT:16.5786;D9:1.1084
20,10000,14000,15000,0.0068478510086373845,0.0031833115906395,0.009900990099009901,2.5653728898193952e-05,0.0004386947486518302,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V127:0.1993:3.0e-28,TransactionID:16.5786;TransactionDT:16.5715;V145:1.0128
