window_id,start_ref,start_test,end_test,mmd_stat_q,p_q,kernel_var,n_sub_total,n_sub_X,n_sub_Y,perm_time_s,total_time_s,error
0,0,4000,5000,0.007587038067710161,0.11764705882352941,0.01707005973040931,200,160,40,0.0157926082611084,1.637721061706543,
7,3500,7500,8500,0.0035230734348326853,0.23529411764705882,0.022860564533683233,200,160,40,0.011661529541015625,1.6517219543457031,
15,7500,11500,12500,-0.0038514264624321948,0.6470588235294118,0.02433283327929419,200,160,40,0.00987696647644043,1.4100708961486816,
23,11500,15500,16500,0.006927217683446479,0.1568627450980392,0.017026499271746282,200,160,40,0.009761571884155273,1.5222618579864502,
31,15500,19500,20500,0.001711935552160121,0.3137254901960784,0.02069724453531196,200,160,40,0.009554147720336914,1.2931408882141113,
39,19500,23500,24500,0.00879070275844554,0.11764705882352941,0.018805432097490526,200,160,40,0.008896350860595703,1.2783944606781006,
47,23500,27500,28500,0.008670226741209902,0.11764705882352941,0.020021629717141234,200,160,40,0.007500410079956055,1.3035671710968018,
55,27500,31500,32500,0.01418735036659774,0.0392156862745098,0.016497806260075173,200,160,40,0.015889406204223633,1.2599804401397705,
62,31000,35000,36000,0.02084996976856912,0.0392156862745098,0.02297227076631545,200,160,40,0.016108274459838867,1.3735499382019043,
70,35000,39000,40000,0.005659958788447023,0.09803921568627451,0.030074642973153053,200,160,40,0.007772207260131836,1.3008959293365479,
78,39000,43000,44000,-0.0037076809122669474,0.7058823529411765,0.03048373139813897,200,160,40,0.009984016418457031,1.48557710647583,
86,43000,47000,48000,0.0025338353586110696,0.3333333333333333,0.019553094430557583,200,160,40,0.015969514846801758,1.3183314800262451,
94,47000,51000,52000,0.0012656700702367296,0.27450980392156865,0.027540435304692704,200,160,40,0.00832509994506836,1.2727336883544922,
102,51000,55000,56000,0.01383007221512314,0.09803921568627451,0.018862291785456543,200,160,40,0.0,1.290930986404419,
110,55000,59000,60000,0.0007590733414583883,0.43137254901960786,0.026834874398173558,200,160,40,0.007776021957397461,1.2937796115875244,
117,58500,62500,63500,0.006963191041842703,0.17647058823529413,0.03235309470555398,200,160,40,0.005758762359619141,1.3096694946289062,
125,62500,66500,67500,-0.001212665530097884,0.45098039215686275,0.029131640289913347,200,160,40,0.007772207260131836,1.3137335777282715,
133,66500,70500,71500,-0.001038159243466702,0.5686274509803921,0.03299270529955623,200,160,40,0.0060117244720458984,1.3082196712493896,
141,70500,74500,75500,-0.0018347608499544033,0.5686274509803921,0.03313007529040862,200,160,40,0.008171319961547852,1.3553245067596436,
149,74500,78500,79500,0.006418208581839169,0.21568627450980393,0.048013213008399676,200,160,40,0.00838017463684082,1.3544423580169678,
157,78500,82500,83500,0.019032373108264805,0.0784313725490196,0.029117497813615147,200,160,40,0.009559154510498047,1.3135719299316406,
165,82500,86500,87500,0.02548070259427132,0.0196078431372549,0.04135714107846959,200,160,40,0.013685226440429688,1.4439945220947266,
172,86000,90000,91000,0.0014062597698951684,0.43137254901960786,0.03354886313846778,200,160,40,0.008353710174560547,1.4693124294281006,
180,90000,94000,95000,0.0037263088691295576,0.29411764705882354,0.052763106751687376,200,160,40,0.008540153503417969,1.3208706378936768,
188,94000,98000,99000,0.005263409082429782,0.29411764705882354,0.02952063186918641,200,160,40,0.009752511978149414,1.2960927486419678,
196,98000,102000,103000,-0.0014356960092725413,0.5882352941176471,0.04394907328255613,200,160,40,0.011877298355102539,1.3823316097259521,
204,102000,106000,107000,0.009978548264438447,0.09803921568627451,0.057049082692496283,200,160,40,0.00807499885559082,1.3212616443634033,
212,106000,110000,111000,9.724154070528401e-05,0.37254901960784315,0.08219811599267754,200,160,40,0.008038997650146484,1.3026626110076904,
220,110000,114000,115000,0.011959260543797479,0.09803921568627451,0.07859091102238903,200,160,40,0.008016586303710938,1.3019280433654785,
