window_id,start_ref_cls,start_test_cls,end_test_cls,mmd_stat,gamma,p_cls,perm_mean,perm_std,top_ks,top_psi,start_ref_q,start_test_q,end_test_q,mmd_stat_q,p_q,kernel_var,n_sub_total,n_sub_X,n_sub_Y,perm_time_s,total_time_s,error,C_cls,C_q,w_q_raw,w_q,w_cls,S_hybrid,S_hybrid_z,drift_flag,w_q_gated,w_cls_gated,S_hybrid_robust,gating,S_roll_mean,S_roll_std,T_rolling,drift_flag_rolling,drift_flag_fixed,drift_injected,w_q_prior,neglog_p_cls,neglog_p_q,meta_proba_oof,meta_proba,meta_pred
114,57000,61000,62000,0.0027648118646588,0.0023279367027882,0.0049751243781094,0.0001534820411488,0.0004950537825811,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1715:5.3e-21,TransactionID:16.5786;TransactionDT:16.5786;C2:0.7700,,,,,0.0413223140495867,0.0261279917958344,,,,,,,0.9950248756218906,0.9586776859504132,0.2971542839879221,0.2971542839879221,0.7028457160120779,0.6958868475367108,0.086939609108592,1,0.1009508391280237,0.8990491608719762,0.9913555963246096,0.3647151087536084,0.929651291311036,0.0558690661183525,0.9799334508175532,1,1,1,0.2767936855509416,5.303304908059086,3.1863526331626426,0.6933873574048495,0.773463534914464,1
107,53500,57500,58500,0.0025651382110993,0.0025824538359286,0.0049751243781094,1.2889999080298863e-05,0.0003746809689109,TransactionID:0.9900:0.0e+00;TransactionDT:0.9898:0.0e+00;D9:0.1140:1.7e-09,TransactionID:16.5786;TransactionDT:16.5786;D9:2.0258,,,,,0.0495867768595041,0.030772646511503,,,,,,,0.9950248756218906,0.9504132231404958,0.2971542839879221,0.2971542839879221,0.7028457160120779,0.6958868475367108,0.086939609108592,1,0.0803741390071694,0.9196258609928306,0.9914392524640114,0.3277066358158395,0.8887398142238183,0.0808087989892939,0.9614677333141828,1,1,1,0.2452624702184458,5.303304908059086,3.004031076368687,0.6274481233605169,0.6998476040627065,1
113,56500,60500,61500,0.0061615415655367,0.0022775552522805,0.0049751243781094,7.922148894945469e-06,0.0003637147513926,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D10:0.2010:9.7e-29,TransactionID:16.5786;TransactionDT:16.5786;C2:0.9795,,,,,0.0578512396694214,0.0203954661123367,,,,,,,0.9950248756218906,0.9421487603305784,0.2971542839879221,0.2971542839879221,0.7028457160120779,0.6958868475367108,0.086939609108592,1,0.139423125951769,0.860576874048231,0.9876527223397896,0.4237830899858696,0.9180266131665418,0.0702136922845238,0.9812189362226132,1,1,1,0.3289964353141552,5.303304908059086,2.849880396541429,0.6148069869731385,0.6829126021754378,1
112,56000,60000,61000,0.008324116226843,0.0024313486634277,0.0049751243781094,-1.0494490235752885e-05,0.0003295522774765,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1817:1.5e-23,TransactionDT:16.5786;TransactionID:16.5786;D9:1.9792,,,,,0.0826446280991735,0.0224507994416805,,,,,,,0.9950248756218906,0.9173553719008264,0.2971542839879221,0.2971542839879221,0.7028457160120779,0.6958868475367108,0.086939609108592,1,0.1234254632699391,0.8765745367300608,0.985438481143172,0.4005254954292204,0.9047982033746598,0.0853677748944927,0.9816292007797032,1,1,1,0.3081588180489511,5.303304908059086,2.493205452602696,0.634122015006421,0.6669321497106946,1
117,58500,62500,63500,0.0029250202621218,0.0022254849320687,0.0099009900990099,4.615237909089576e-05,0.0003910299860666,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V160:0.1250:2.5e-11,TransactionDT:16.5786;TransactionID:16.5786;D9:1.7920,58500.0,62500.0,63500.0,0.0069631910418427,0.1764705882352941,0.0323530947055539,200.0,160.0,40.0,0.0057587623596191,1.3096694946289062,,0.99009900990099,0.8235294117647058,0.2361102552313032,0.2361102552313032,0.7638897447686968,0.9507702195712564,2.401015208965943,1,0.0747924470544789,0.925207552945521,0.977640862051496,0.3167691593116495,0.9382747948351128,0.0463743291320085,0.9800116910539204,0,1,0,0.2361102552313032,4.61512051684126,1.7346010553881064,0.6182856728999346,0.6246708857216213,1
105,52500,56500,57500,0.0047063853245084,0.0019995221470252,0.0049751243781094,7.46452469743475e-05,0.0004266849600475,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.2437:3.3e-42,TransactionDT:16.5786;TransactionID:16.5786;D9:2.4557,,,,,0.0330578512396694,0.020393235103915,,,,,,,0.9950248756218906,0.9669421487603306,0.2971542839879221,0.2971542839879221,0.7028457160120779,0.6958868475367108,0.086939609108592,1,0.1394421494397169,0.8605578505602831,0.9911089598261862,0.4238098031032198,0.8779785109877697,0.079054819214615,0.9491278482809232,1,1,1,0.3290205852217048,5.303304908059086,3.409496184476851,0.5235611991335586,0.6087724890995917,1
101,50500,54500,55500,0.0009455558449302,0.0023393979041064,0.0049751243781094,3.1733958919675235e-05,0.0004390016927446,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.2032:2.2e-29,TransactionID:16.5786;TransactionDT:16.5786;D9:1.6775,,,,,0.0413223140495867,0.0209419659958186,,,,,,,0.9950248756218906,0.9586776859504132,0.2971542839879221,0.2971542839879221,0.7028457160120779,0.6610925051598752,-0.2289567872102905,1,0.1348781267423472,0.8651218732576528,0.9901224347666528,0.4173394410958962,0.8630182991804078,0.0731521102318703,0.9288551983890913,1,1,1,0.3231856696509901,5.303304908059086,3.1863526331626426,0.48873510158952155,0.5652023655402508,1
0,0,4000,5000,0.0254241674578226,0.0044128142871791,0.0099009900990099,-1.358534092641861e-05,0.0004357052565776,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;V25:0.2082:7.8e-31,TransactionDT:16.5786;TransactionID:16.5786;D9:0.8111,0.0,4000.0,5000.0,0.0075870380677101,0.1176470588235294,0.0170700597304093,200.0,160.0,40.0,0.0157926082611084,1.637721061706543,,0.99009900990099,0.8823529411764706,0.3694118188219966,0.3694118188219966,0.6305881811780034,0.9502963386825456,2.396712863963791,1,0.1727835036512997,0.8272164963487002,0.971482266642114,0.4677259763975136,0.971482266642114,0.0,0.9492608762286152,1,1,0,0.3694118188219966,4.61512051684126,2.1400661634962708,0.624155085089149,0.523589887049116,1
110,55000,59000,60000,0.0074992865230401,0.0032348437656394,0.0049751243781094,1.5962290508209076e-05,0.0004946823808197,TransactionID:0.9900:0.0e+00;TransactionDT:0.9898:0.0e+00;D9:0.1517:1.6e-16,TransactionID:16.5786;TransactionDT:16.5786;D9:1.7575,55000.0,59000.0,60000.0,0.0007590733414583,0.371900826446281,0.0268348743981732,200.0,160.0,40.0,0.0077760219573974,1.2937796115875244,,0.9950248756218906,0.628099173553719,0.2714818541969667,0.2714818541969667,0.7285181458030333,0.8756771295939401,1.7192481488108835,1,0.097340505301158,0.902659494698842,0.9593081423745926,0.3585525286361665,0.8988028300392544,0.0833992695229714,0.9738621726099288,0,1,1,0.2714818541969683,5.303304908059086,0.9891280558264214,0.48025126951335706,0.5091161749243366,1
111,55500,59500,60500,0.0045342153741185,0.0031515221336907,0.0049751243781094,1.0298469767628938e-05,0.000420807742206,TransactionID:0.9900:0.0e+00;TransactionDT:0.9900:0.0e+00;D9:0.1867:7.6e-25,TransactionDT:16.5786;TransactionID:16.5786;D9:1.7388,,,,,0.3636363636363636,0.0253491821602525,,,,,,,0.9950248756218906,0.6363636363636364,0.2971542839879221,0.2971542839879221,0.7028457160120779,0.6958868475367108,0.086939609108592,1,0.1051664350301207,0.8948335649698792,0.9573057517056148,0.3717547468757511,0.9000672269431895,0.0840345987984695,0.975698365861812,0,1,1,0.2828919762664652,5.303304908059086,1.01160091167848,0.4382161950281861,0.5056209558618907,1
